month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2023-11,SENGKANG,2 ROOM,453A,FERNVALE RD,19 TO 21,46,2-room,2015,90,332000
2023-11,SENGKANG,2 ROOM,453A,FERNVALE RD,13 TO 15,46,Model A,2015,90,340000
2023-11,SENGKANG,2 ROOM,443C,FERNVALE RD,04 TO 06,47,Model A,2012,88,335000
2023-11,SENGKANG,2 ROOM,180B,RIVERVALE CRES,04 TO 06,47,Model A,2015,90,338000
2023-11,SENGKANG,3 ROOM,334A,ANCHORVALE CRES,10 TO 12,67,Premium Apartment,2015,91,470000
2023-11,SENGKANG,3 ROOM,302B,ANCHORVALE LINK,01 TO 03,88,Model A,2007,82,445000
2023-11,SENGKANG,3 ROOM,351B,ANCHORVALE RD,07 TO 09,67,Model A,2019,94,490000
2023-11,SENGKANG,3 ROOM,351B,ANCHORVALE RD,01 TO 03,67,Model A,2019,94,445000
2023-11,SENGKANG,3 ROOM,418A,FERNVALE LINK,22 TO 24,68,Model A,2018,93,535000
2023-11,SENGKANG,3 ROOM,470B,FERNVALE LINK,07 TO 09,68,Model A,2016,91,445000
2023-11,SENGKANG,3 ROOM,439B,SENGKANG WEST AVE,16 TO 18,69,Model A,2011,86,485000
2023-11,SENGKANG,4 ROOM,338C,ANCHORVALE CRES,16 TO 18,93,Model A,2018,93,578888
2023-11,SENGKANG,4 ROOM,335A,ANCHORVALE CRES,04 TO 06,92,Premium Apartment,2015,91,578000
2023-11,SENGKANG,4 ROOM,338A,ANCHORVALE CRES,01 TO 03,93,Model A,2018,93,568000
2023-11,SENGKANG,4 ROOM,320A,ANCHORVALE DR,13 TO 15,85,Model A2,2002,77,515000
2023-11,SENGKANG,4 ROOM,322A,ANCHORVALE DR,07 TO 09,86,Model A2,2002,77,546888
2023-11,SENGKANG,4 ROOM,306C,ANCHORVALE LINK,13 TO 15,90,Model A,2002,77,488000
2023-11,SENGKANG,4 ROOM,306A,ANCHORVALE LINK,16 TO 18,90,Model A,2002,77,525000
2023-11,SENGKANG,4 ROOM,351A,ANCHORVALE RD,10 TO 12,92,Model A,2019,94,615888
2023-11,SENGKANG,4 ROOM,351D,ANCHORVALE RD,07 TO 09,92,Model A,2019,94,615000
2023-11,SENGKANG,4 ROOM,351D,ANCHORVALE RD,13 TO 15,92,Model A,2019,94,635000
2023-11,SENGKANG,4 ROOM,327C,ANCHORVALE RD,10 TO 12,92,Premium Apartment,2015,90,605000
2023-11,SENGKANG,4 ROOM,351D,ANCHORVALE RD,13 TO 15,92,Model A,2019,94,610000
2023-11,SENGKANG,4 ROOM,313A,ANCHORVALE RD,10 TO 12,92,Premium Apartment,2003,78,540000
2023-11,SENGKANG,4 ROOM,351D,ANCHORVALE RD,10 TO 12,92,Model A,2019,94,595000
2023-11,SENGKANG,4 ROOM,327C,ANCHORVALE RD,04 TO 06,92,Premium Apartment,2015,90,550000
2023-11,SENGKANG,4 ROOM,351A,ANCHORVALE RD,10 TO 12,92,Model A,2019,94,620888
2023-11,SENGKANG,4 ROOM,351D,ANCHORVALE RD,04 TO 06,92,Model A,2019,94,575000
2023-11,SENGKANG,4 ROOM,351D,ANCHORVALE RD,01 TO 03,92,Model A,2019,94,550000
2023-11,SENGKANG,4 ROOM,351A,ANCHORVALE RD,01 TO 03,92,Model A,2019,94,570888
2023-11,SENGKANG,4 ROOM,317C,ANCHORVALE RD,04 TO 06,92,Premium Apartment,2003,78,519000
2023-11,SENGKANG,4 ROOM,330A,ANCHORVALE ST,04 TO 06,92,Model A,2015,90,555000
2023-11,SENGKANG,4 ROOM,265E,COMPASSVALE BOW,16 TO 18,92,Premium Apartment,2007,82,688000
2023-11,SENGKANG,4 ROOM,264A,COMPASSVALE BOW,10 TO 12,92,Premium Apartment,2007,82,630000
2023-11,SENGKANG,4 ROOM,274B,COMPASSVALE BOW,04 TO 06,92,Model A,2017,93,698000
2023-11,SENGKANG,4 ROOM,288B,COMPASSVALE CRES,10 TO 12,93,Premium Apartment,2017,93,618000
2023-11,SENGKANG,4 ROOM,293A,COMPASSVALE CRES,10 TO 12,93,Model A,2016,92,645000
2023-11,SENGKANG,4 ROOM,293C,COMPASSVALE CRES,01 TO 03,93,Model A,2016,92,558000
2023-11,SENGKANG,4 ROOM,294A,COMPASSVALE CRES,13 TO 15,93,Model A,2016,92,645000
2023-11,SENGKANG,4 ROOM,201C,COMPASSVALE DR,01 TO 03,90,Model A,2001,76,475000
2023-11,SENGKANG,4 ROOM,211B,COMPASSVALE LANE,10 TO 12,93,Model A,2013,88,600000
2023-11,SENGKANG,4 ROOM,211D,COMPASSVALE LANE,13 TO 15,97,Model A,2013,88,628000
2023-11,SENGKANG,4 ROOM,210A,COMPASSVALE LANE,13 TO 15,97,Model A,2013,88,610000
2023-11,SENGKANG,4 ROOM,207D,COMPASSVALE LANE,13 TO 15,85,Model A,2005,80,510000
2023-11,SENGKANG,4 ROOM,211B,COMPASSVALE LANE,13 TO 15,95,Model A,2013,88,620000
2023-11,SENGKANG,4 ROOM,209C,COMPASSVALE LANE,10 TO 12,92,Model A,2011,87,600000
2023-11,SENGKANG,4 ROOM,269C,COMPASSVALE LINK,13 TO 15,90,Premium Apartment,2006,81,670000
2023-11,SENGKANG,4 ROOM,269A,COMPASSVALE LINK,13 TO 15,90,Premium Apartment,2006,81,668000
2023-11,SENGKANG,4 ROOM,275C,COMPASSVALE LINK,13 TO 15,90,Premium Apartment,2009,84,760000
2023-11,SENGKANG,4 ROOM,265C,COMPASSVALE LINK,13 TO 15,92,Premium Apartment,2008,83,685000
2023-11,SENGKANG,4 ROOM,275A,COMPASSVALE LINK,07 TO 09,90,Premium Apartment,2009,84,708000
2023-11,SENGKANG,4 ROOM,203A,COMPASSVALE RD,04 TO 06,90,Model A,2000,76,490000
2023-11,SENGKANG,4 ROOM,249,COMPASSVALE RD,13 TO 15,90,Model A2,2000,75,566000
2023-11,SENGKANG,4 ROOM,299B,COMPASSVALE ST,07 TO 09,94,Premium Apartment,2001,76,505888
2023-11,SENGKANG,4 ROOM,232,COMPASSVALE WALK,04 TO 06,101,Model A,1999,74,478000
2023-11,SENGKANG,4 ROOM,230,COMPASSVALE WALK,10 TO 12,101,Model A,1999,74,545000
2023-11,SENGKANG,4 ROOM,241,COMPASSVALE WALK,07 TO 09,101,Model A,1999,74,575000
2023-11,SENGKANG,4 ROOM,412A,FERNVALE LINK,10 TO 12,95,Premium Apartment,2004,79,530000
2023-11,SENGKANG,4 ROOM,416B,FERNVALE LINK,10 TO 12,93,Model A,2016,91,553000
2023-11,SENGKANG,4 ROOM,470B,FERNVALE LINK,04 TO 06,93,Model A,2016,91,535000
2023-11,SENGKANG,4 ROOM,417A,FERNVALE LINK,16 TO 18,94,Model A,2018,93,668000
2023-11,SENGKANG,4 ROOM,418B,FERNVALE LINK,13 TO 15,94,Model A,2018,93,638000
2023-11,SENGKANG,4 ROOM,416B,FERNVALE LINK,10 TO 12,93,Model A,2016,91,606888
2023-11,SENGKANG,4 ROOM,436B,FERNVALE RD,07 TO 09,96,Model A,2010,85,558000
2023-11,SENGKANG,4 ROOM,441A,FERNVALE RD,16 TO 18,93,Model A,2012,87,618000
2023-11,SENGKANG,4 ROOM,441B,FERNVALE RD,10 TO 12,93,Model A,2012,87,585000
2023-11,SENGKANG,4 ROOM,435C,FERNVALE RD,16 TO 18,94,Premium Apartment,2013,88,588000
2023-11,SENGKANG,4 ROOM,441B,FERNVALE RD,07 TO 09,92,Model A,2012,87,588000
2023-11,SENGKANG,4 ROOM,443B,FERNVALE RD,13 TO 15,94,Model A,2012,88,602888
2023-11,SENGKANG,4 ROOM,411B,FERNVALE RD,16 TO 18,95,Premium Apartment,2012,88,606000
2023-11,SENGKANG,4 ROOM,441C,FERNVALE RD,10 TO 12,93,Model A,2012,87,560000
2023-11,SENGKANG,4 ROOM,436B,FERNVALE RD,01 TO 03,96,Model A,2010,85,535000
2023-11,SENGKANG,4 ROOM,472A,FERNVALE ST,04 TO 06,93,Model A,2016,91,540000
2023-11,SENGKANG,4 ROOM,472B,FERNVALE ST,19 TO 21,93,Model A,2016,91,565000
2023-11,SENGKANG,4 ROOM,472B,FERNVALE ST,04 TO 06,93,Model A,2016,91,570000
2023-11,SENGKANG,4 ROOM,446B,JLN KAYU,25 TO 27,93,Model A,2013,89,585888
2023-11,SENGKANG,4 ROOM,446B,JLN KAYU,19 TO 21,93,Model A,2013,89,588000
2023-11,SENGKANG,4 ROOM,180C,RIVERVALE CRES,07 TO 09,93,Model A,2015,90,538000
2023-11,SENGKANG,4 ROOM,162B,RIVERVALE CRES,13 TO 15,93,Model A,2017,92,600088
2023-11,SENGKANG,4 ROOM,178A,RIVERVALE CRES,16 TO 18,93,Model A,2015,90,560000
2023-11,SENGKANG,4 ROOM,178A,RIVERVALE CRES,04 TO 06,93,Model A,2015,90,500000
2023-11,SENGKANG,4 ROOM,178C,RIVERVALE CRES,04 TO 06,93,Model A,2015,90,515000
2023-11,SENGKANG,4 ROOM,178D,RIVERVALE CRES,01 TO 03,93,Model A,2015,90,500000
2023-11,SENGKANG,4 ROOM,124B,RIVERVALE DR,10 TO 12,90,Model A2,1999,74,490000
2023-11,SENGKANG,4 ROOM,188D,RIVERVALE DR,13 TO 15,95,Model A,2000,75,500000
2023-11,SENGKANG,4 ROOM,196,RIVERVALE DR,07 TO 09,91,Model A,2001,76,498000
2023-11,SENGKANG,4 ROOM,129,RIVERVALE ST,04 TO 06,100,Model A,1999,74,535000
2023-11,SENGKANG,4 ROOM,272D,SENGKANG CTRL,13 TO 15,90,Premium Apartment,2009,85,720000
2023-11,SENGKANG,4 ROOM,281B,SENGKANG EAST AVE,04 TO 06,92,Premium Apartment,2015,90,680000
2023-11,SENGKANG,4 ROOM,200A,SENGKANG EAST RD,13 TO 15,90,Model A,2001,76,515000
2023-11,SENGKANG,4 ROOM,439C,SENGKANG WEST AVE,19 TO 21,94,Model A,2011,86,615888
2023-11,SENGKANG,4 ROOM,432A,SENGKANG WEST WAY,16 TO 18,93,Model A,2014,90,575000
2023-11,SENGKANG,4 ROOM,432B,SENGKANG WEST WAY,07 TO 09,93,Model A,2014,89,580000
2023-11,SENGKANG,5 ROOM,319A,ANCHORVALE DR,01 TO 03,115,Improved,2002,78,600000
2023-11,SENGKANG,5 ROOM,314A,ANCHORVALE LINK,01 TO 03,110,Premium Apartment,2003,78,568000
2023-11,SENGKANG,5 ROOM,315B,ANCHORVALE RD,01 TO 03,110,Premium Apartment,2003,78,540000
2023-11,SENGKANG,5 ROOM,330B,ANCHORVALE ST,01 TO 03,112,Improved,2015,90,670000
2023-11,SENGKANG,5 ROOM,274B,COMPASSVALE BOW,10 TO 12,113,Improved,2017,93,881000
2023-11,SENGKANG,5 ROOM,293B,COMPASSVALE CRES,13 TO 15,113,Improved,2016,92,765000
2023-11,SENGKANG,5 ROOM,288B,COMPASSVALE CRES,07 TO 09,113,Premium Apartment,2017,93,752000
2023-11,SENGKANG,5 ROOM,204B,COMPASSVALE DR,16 TO 18,110,Improved,2001,76,645000
2023-11,SENGKANG,5 ROOM,204C,COMPASSVALE DR,10 TO 12,110,Improved,2001,76,645000
2023-11,SENGKANG,5 ROOM,227C,COMPASSVALE DR,10 TO 12,115,Improved,2000,75,595000
2023-11,SENGKANG,5 ROOM,204A,COMPASSVALE DR,04 TO 06,110,Improved,2000,76,603000
2023-11,SENGKANG,5 ROOM,205C,COMPASSVALE LANE,10 TO 12,122,Improved,1999,74,620000
2023-11,SENGKANG,5 ROOM,246,COMPASSVALE RD,01 TO 03,115,Improved,2000,75,570000
2023-11,SENGKANG,5 ROOM,251,COMPASSVALE ST,07 TO 09,116,Improved,2000,76,620888
2023-11,SENGKANG,5 ROOM,298A,COMPASSVALE ST,13 TO 15,122,Premium Apartment,2001,76,655000
2023-11,SENGKANG,5 ROOM,251,COMPASSVALE ST,01 TO 03,115,Improved,2000,75,590000
2023-11,SENGKANG,5 ROOM,252,COMPASSVALE ST,13 TO 15,116,Improved,2000,75,630000
2023-11,SENGKANG,5 ROOM,228A,COMPASSVALE WALK,16 TO 18,115,Improved,2000,75,616800
2023-11,SENGKANG,5 ROOM,233,COMPASSVALE WALK,13 TO 15,123,Improved,1999,74,638000
2023-11,SENGKANG,5 ROOM,228C,COMPASSVALE WALK,07 TO 09,121,Improved,2000,75,628000
2023-11,SENGKANG,5 ROOM,404B,FERNVALE LANE,25 TO 27,112,Premium Apartment,2004,79,640000
2023-11,SENGKANG,5 ROOM,404B,FERNVALE LANE,01 TO 03,112,Premium Apartment,2004,79,520000
2023-11,SENGKANG,5 ROOM,415B,FERNVALE LINK,04 TO 06,113,Improved,2016,91,703888
2023-11,SENGKANG,5 ROOM,430A,FERNVALE LINK,19 TO 21,112,Improved,2015,90,715000
2023-11,SENGKANG,5 ROOM,415B,FERNVALE LINK,07 TO 09,113,Improved,2016,91,722000
2023-11,SENGKANG,5 ROOM,471B,FERNVALE ST,22 TO 24,113,Improved,2016,91,716000
